securities

tradedate;secid;correction;crtyield;crtprice
06.01.2014;SU25068RMFS6;0,0000;6,06;91,8203
06.01.2014;SU25075RMFS1;0,0000;6,36;87,7530
06.01.2014;SU25077RMFS7;0,0000;6,51;84,5467
06.01.2014;SU25079RMFS3;0,0000;6,32;91,0730
06.01.2014;SU25080RMFS1;0,0000;6,81;101,9910
06.01.2014;SU25081RMFS9;0,0000;6,98;97,6415
06.01.2014;SU26202RMFS0;0,0000;6,17;93,8524
06.01.2014;SU26205RMFS3;0,0000;7,47;101,4420
06.01.2014;SU26206RMFS1;0,0000;6,84;101,9828
06.01.2014;SU26207RMFS9;0,0000;7,91;103,1057
06.01.2014;SU26208RMFS7;0,0000;7,17;101,8899
06.01.2014;SU26209RMFS5;0,0000;7,60;100,8132
06.01.2014;SU26210RMFS3;0,0000;7,30;98,2047
06.01.2014;SU26211RMFS1;0,0000;7,66;96,5909
06.01.2014;SU26212RMFS9;0,0000;7,98;93,4241
06.01.2014;SU26214RMFS5;0,0000;7,37;95,7355
06.01.2014;SU26215RMFS2;0,0000;7,71;96,1394
08.01.2014;SU25068RMFS6;0,0000;6,05;96,4573
08.01.2014;SU25075RMFS1;0,0000;6,35;91,0970
08.01.2014;SU25077RMFS7;0,0000;6,50;87,9853
08.01.2014;SU25079RMFS3;0,0000;6,31;91,7868
08.01.2014;SU25080RMFS1;0,0000;6,79;103,6540
08.01.2014;SU25081RMFS9;0,0000;6,96;100,3770
08.01.2014;SU26202RMFS0;0,0000;6,17;94,5331
08.01.2014;SU26205RMFS3;0,0000;7,46;103,1176
08.01.2014;SU26206RMFS1;0,0000;6,82;102,5150
08.01.2014;SU26207RMFS9;0,0000;7,94;106,0287
08.01.2014;SU26208RMFS7;0,0000;7,15;104,6112
08.01.2014;SU26209RMFS5;0,0000;7,61;104,1664
08.01.2014;SU26210RMFS3;0,0000;7,28;98,7138
08.01.2014;SU26211RMFS1;0,0000;7,67;99,5090
08.01.2014;SU26212RMFS9;0,0000;8,01;96,1796
08.01.2014;SU26214RMFS5;0,0000;7,35;96,4530
08.01.2014;SU26215RMFS2;0,0000;7,72;98,4871
09.01.2014;SU25068RMFS6;0,0000;5,92;96,5495
09.01.2014;SU25075RMFS1;-0,0299;6,24;91,2438
09.01.2014;SU25077RMFS7;0,0001;6,46;88,0604
09.01.2014;SU25079RMFS3;0,0000;6,23;91,9081
09.01.2014;SU25080RMFS1;0,0000;6,82;103,5621
09.01.2014;SU25081RMFS9;0,0134;7,04;100,1364
09.01.2014;SU26202RMFS0;0,0000;6,04;94,6508
09.01.2014;SU26205RMFS3;-0,0003;7,55;102,6298
09.01.2014;SU26206RMFS1;0,0000;6,87;102,3972
09.01.2014;SU26207RMFS9;-0,0171;7,98;105,6768
09.01.2014;SU26208RMFS7;-0,0137;7,22;104,3152
09.01.2014;SU26209RMFS5;-0,0004;7,70;103,6630
09.01.2014;SU26210RMFS3;-0,0349;7,34;98,4268
09.01.2014;SU26211RMFS1;-0,0061;7,75;99,0553
09.01.2014;SU26212RMFS9;0,0122;8,07;95,7816
09.01.2014;SU26214RMFS5;0,0297;7,48;95,9213
09.01.2014;SU26215RMFS2;0,0561;7,86;97,7640
10.01.2014;SU25068RMFS6;0,0000;5,86;96,5980
10.01.2014;SU25075RMFS1;-0,0389;6,20;91,3137
10.01.2014;SU25077RMFS7;0,0000;6,44;88,1099
10.01.2014;SU25079RMFS3;-0,0016;6,19;91,9650
10.01.2014;SU25080RMFS1;0,0272;6,85;103,5157
10.01.2014;SU25081RMFS9;0,0060;7,04;100,1373
10.01.2014;SU26202RMFS0;0,0000;6,00;94,7046
10.01.2014;SU26205RMFS3;0,0015;7,57;102,5523
10.01.2014;SU26206RMFS1;0,0144;6,88;102,3771
10.01.2014;SU26207RMFS9;-0,0303;7,97;105,8330
10.01.2014;SU26208RMFS7;0,0000;7,25;104,2242
10.01.2014;SU26209RMFS5;-0,0091;7,70;103,6536
10.01.2014;SU26210RMFS3;-0,0224;7,37;98,3314
10.01.2014;SU26211RMFS1;-0,0164;7,75;99,0606
10.01.2014;SU26212RMFS9;0,0000;8,06;95,8370
10.01.2014;SU26214RMFS5;0,0218;7,49;95,8540
10.01.2014;SU26215RMFS2;0,0370;7,85;97,7604
13.01.2014;SU25068RMFS6;0,0504;5,99;96,5725
13.01.2014;SU25075RMFS1;-0,0171;6,22;91,3411
13.01.2014;SU25077RMFS7;-0,0002;6,41;88,2070
13.01.2014;SU25079RMFS3;-0,0275;6,17;92,0326
13.01.2014;SU25080RMFS1;0,0304;6,83;103,6319
13.01.2014;SU25081RMFS9;0,0044;7,02;100,2615
13.01.2014;SU26202RMFS0;0,0000;6,05;94,7068
13.01.2014;SU26205RMFS3;-0,0092;7,55;102,7336
13.01.2014;SU26206RMFS1;0,0563;6,90;102,3889
13.01.2014;SU26207RMFS9;-0,0351;7,97;105,9031
13.01.2014;SU26208RMFS7;-0,0220;7,21;104,4364
13.01.2014;SU26209RMFS5;-0,0024;7,70;103,7288
13.01.2014;SU26210RMFS3;-0,0273;7,35;98,4815
13.01.2014;SU26211RMFS1;-0,0208;7,74;99,1859
13.01.2014;SU26212RMFS9;0,0226;8,09;95,6935
13.01.2014;SU26214RMFS5;0,0258;7,48;95,9644
13.01.2014;SU26215RMFS2;0,0307;7,84;97,8865
14.01.2014;SU25068RMFS6;0,0498;5,96;96,6034
14.01.2014;SU25075RMFS1;-0,0398;6,18;91,4088
14.01.2014;SU25077RMFS7;0,0000;6,40;88,2422
14.01.2014;SU25079RMFS3;-0,0001;6,18;92,0411
14.01.2014;SU25080RMFS1;0,0389;6,83;103,6490
14.01.2014;SU25081RMFS9;0,0293;7,04;100,2200
14.01.2014;SU26202RMFS0;0,0000;6,02;94,7444
14.01.2014;SU26205RMFS3;-0,0003;7,57;102,6557
14.01.2014;SU26206RMFS1;0,0242;6,86;102,5121
14.01.2014;SU26207RMFS9;-0,0200;8,00;105,6948
14.01.2014;SU26208RMFS7;-0,0130;7,22;104,4168
14.01.2014;SU26209RMFS5;-0,0036;7,71;103,6852
14.01.2014;SU26210RMFS3;-0,0124;7,37;98,4150
14.01.2014;SU26211RMFS1;-0,0038;7,77;99,0321
14.01.2014;SU26212RMFS9;0,0000;8,08;95,7475
14.01.2014;SU26214RMFS5;0,0488;7,51;95,8517
14.01.2014;SU26215RMFS2;0,0371;7,86;97,7828
15.01.2014;SU25068RMFS6;0,0266;5,94;96,6292
15.01.2014;SU25075RMFS1;-0,0261;6,20;91,3899
15.01.2014;SU25077RMFS7;0,0000;6,42;88,2281
15.01.2014;SU25079RMFS3;-0,0079;6,18;92,0522
15.01.2014;SU25080RMFS1;0,0530;6,86;103,5629
15.01.2014;SU25081RMFS9;0,0176;7,05;100,2029
15.01.2014;SU26202RMFS0;0,0000;6,03;94,7556
15.01.2014;SU26205RMFS3;-0,0005;7,59;102,5437
15.01.2014;SU26206RMFS1;0,0397;6,90;102,4211
15.01.2014;SU26207RMFS9;-0,0201;8,04;105,3990
15.01.2014;SU26208RMFS7;-0,0289;7,22;104,4281
15.01.2014;SU26209RMFS5;-0,0047;7,74;103,5241
15.01.2014;SU26210RMFS3;-0,0201;7,38;98,3833
15.01.2014;SU26211RMFS1;0,0000;7,81;98,8220
15.01.2014;SU26212RMFS9;0,0043;8,13;95,4092
15.01.2014;SU26214RMFS5;0,0000;7,48;95,9750
15.01.2014;SU26215RMFS2;0,0363;7,90;97,5534
16.01.2014;SU25068RMFS6;0,0290;5,96;96,6348
16.01.2014;SU25075RMFS1;-0,0390;6,23;91,3679
16.01.2014;SU25077RMFS7;0,0000;6,46;88,1758
16.01.2014;SU25079RMFS3;-0,0010;6,23;92,0108
16.01.2014;SU25080RMFS1;0,0559;6,88;103,5322
16.01.2014;SU25081RMFS9;0,0006;7,04;100,2547
16.01.2014;SU26202RMFS0;0,0000;6,06;94,7470
16.01.2014;SU26205RMFS3;0,0000;7,61;102,4967
16.01.2014;SU26206RMFS1;0,0356;6,90;102,4153
16.01.2014;SU26207RMFS9;-0,0246;8,06;105,3128
16.01.2014;SU26208RMFS7;-0,0377;7,22;104,4527
16.01.2014;SU26209RMFS5;0,0000;7,76;103,4355
16.01.2014;SU26210RMFS3;-0,0037;7,41;98,2855
16.01.2014;SU26211RMFS1;0,0000;7,82;98,7566
16.01.2014;SU26212RMFS9;-0,0015;8,14;95,3255
16.01.2014;SU26214RMFS5;0,0312;7,52;95,7980
16.01.2014;SU26215RMFS2;0,0209;7,90;97,5773
17.01.2014;SU25068RMFS6;0,0295;6,00;96,6273
17.01.2014;SU25075RMFS1;-0,0706;6,22;91,3891
17.01.2014;SU25077RMFS7;0,0000;6,47;88,1727
17.01.2014;SU25079RMFS3;-0,0014;6,25;92,0007
17.01.2014;SU25080RMFS1;0,0161;6,85;103,6437
17.01.2014;SU25081RMFS9;0,0006;7,04;100,2550
17.01.2014;SU26202RMFS0;0,0000;6,09;94,7344
17.01.2014;SU26205RMFS3;0,0001;7,61;102,4999
17.01.2014;SU26206RMFS1;0,0340;6,91;102,4247
17.01.2014;SU26207RMFS9;-0,0287;8,07;105,2002
